Time_seconds,EI_raw,EI_median,Blink,Delta_filt_avg_smoothed,Theta_filt_avg_smoothed,Alpha_filt_avg_smoothed,Beta_filt_avg_smoothed,Gamma_filt_avg_smoothed,Heart_Rate
439.6,1.747593148284261,1.747593148284261,0,4.9289189574134085,5.507005718301478,8.097683573198392,23.77546179036143,19.641320273323768,66.38692222647254
440.6,1.7447129170794209,1.7447129170794209,0,4.946120043221393,5.522976184205039,8.097683573198392,23.771890807782185,19.641320273323768,64.02936997613963
441.6,1.7418927241633013,1.7418927241633013,0,4.962370879774189,5.539495966326038,8.097683573198392,23.768354542189332,19.636534521031436,85.38885814513411
442.6,1.739134738698634,1.739134738698634,0,4.977654461757106,5.556561493884841,8.097683573198392,23.7648486970036,19.617289477863256,57.55249620882844
443.6,1.736440973137093,1.736440973137093,0,4.991956895098743,5.5741678291857415,8.097683573198392,23.7613687483198,19.59483386759156,55.11155140274189
444.6,1.7338132811163467,1.7338132811163467,0,5.005267370645875,5.592308600780052,8.097683573198392,23.757909904750292,19.56918076171484,61.54663567138876
445.6,1.7312533551461744,1.7312533551461744,0,5.017578124814459,5.610975938498,8.097683573198392,23.75446705902118,19.54035246764022,61.20030154529109
445.611,1.7287627239369143,1.7287627239369143,1,5.0288843883741965,5.630160410426486,8.097683573198392,23.751034729565383,19.508380597364447,63.64164668986629
446.6,1.726342749282057,1.726342749282057,0,5.039184324832178,5.64985096217268,8.097683573198392,23.747606991285316,19.473306093122982,66.08299183444149
447.6,1.7239946225168699,1.7239946225168699,0,5.048478960113533,5.670034858923896,8.097683573198392,23.744177395994782,19.435179211836612,67.0198668913944
448.6,1.7217193607372576,1.7217193607372576,0,5.056772105351352,5.690697630743478,8.097683573198392,23.74073888468685,19.39405947014464,55.30996397821186
449.6,1.7195178031419887,1.7195178031419887,0,5.0640702746491275,5.71182302134093,8.092793396201328,23.737283695510094,19.35001555117764,60.11932206185883
450.6,1.7173906080170112,1.7173906080170112,0,5.070382599668959,5.733392940436968,8.086295581348747,23.733803273035278,19.30312517393152,61.84590564662174
451.6,1.715338250978514,1.715338250978514,0,5.075720742766707,5.75538741992875,8.07878678581486,23.730288185812316,19.25347492651431,69.51244787470782
452.6,1.713361025107465,1.713361025107465,0,5.075759217559982,5.7777845743155645,8.070276466078287,23.726728059919957,19.201160065241886,64.23047762036138
453.6,1.7114590435493908,1.7114590435493908,0,5.075759217559982,5.800560566155492,8.060777001575373,23.723111535983904,19.14628428195112,61.75226726133037
454.204,1.7096322450504806,1.7096322450504806,1,5.075759217559982,5.823689577579197,8.05030368901186,23.71942625617732,19.088959441791207,67.1282856713673
454.6,1.7078804027743797,1.7078804027743797,0,5.075759217559982,5.847143789032718,8.038874721247215,23.71565888626938,19.0293052935252,72.50430408140423
455.6,1.706203136590155,1.706203136590155,0,5.075759217559982,5.870893366457917,8.026511149708112,23.711795175944665,18.967449154494247,60.14033641786085
456.6,1.7045999288410894,1.7045999288410894,0,5.075759217559982,5.894906458080997,8.013236829638245,23.707820058557893,18.903525572780243,72.00130275538095
457.6,1.7030701434183764,1.7030701434183764,0,5.075759217559982,5.919149201919819,7.999078348053371,23.703717789662434,18.837675969197054,75.09251998190892
458.6,1.7016130478030727,1.7016130478030727,0,5.075759217559982,5.943585745101997,7.984064934983678,23.699472122477122,18.770048261293816,71.30895838398763
459.6,1.7002278376151403,1.7002278376151403,0,5.075759217559982,5.96817827612889,7.968228359295855,23.695066517873506,18.70079647091238,64.91510860494517
